Initial list for QuickSortRecursive: [6807, 5249, 73, 3658, 8930, 1272, 7544, 878, 7923, 7709, 4440, 8165]
The 3-th element of the list: 1272
Sorted list for QuickSortRecursive: [73, 878, 1272, 3658, 4440, 5249, 6807, 7544, 7709, 7923, 8165, 8930]

Initial list for QuickSort: [933, 3099, 278, 1816, 5335, 9097, 7826, 3512, 9267, 3810, 7633, 979]
Sorted list for QuickSort: [278, 933, 979, 1816, 3099, 3512, 3810, 5335, 7633, 7826, 9097, 9267]

Initial list for MergeSortRecursive: [194, 6357, 5001, 1153, 6708, 7944, 5668, 1490, 8124, 2196, 9530, 903]
Sorted list for MergeSortRecursive: [194, 903, 1153, 1490, 2196, 5001, 5668, 6357, 6708, 7944, 8124, 9530]

Initial list for MergeSort: [7722, 4666, 8549, 8024, 7801, 6853, 977, 7408, 8228, 4933, 298, 8981]
Sorted list for MergeSort: [298, 977, 4666, 4933, 6853, 7408, 7722, 7801, 8024, 8228, 8549, 8981]

Length	T_qsr	T_msr	T_qsll	T_msll
8	0.000001	0.000000	0.000001	0.000000
9	0.000001	0.000002	0.000002	0.000001
10	0.000000	0.000000	0.000001	0.000002
12	0.000002	0.000002	0.000002	0.000002
13	0.000001	0.000002	0.000002	0.000002
16	0.000001	0.000001	0.000001	0.000002
18	0.000001	0.000002	0.000002	0.000001
21	0.000001	0.000001	0.000002	0.000003
24	0.000001	0.000001	0.000002	0.000002
27	0.000001	0.000001	0.000002	0.000002
32	0.000002	0.000002	0.000004	0.000003
36	0.000001	0.000001	0.000002	0.000003
42	0.000003	0.000003	0.000005	0.000004
48	0.000001	0.000001	0.000004	0.000004
55	0.000002	0.000001	0.000004	0.000004
64	0.000001	0.000002	0.000005	0.000005
73	0.000003	0.000004	0.000006	0.000006
84	0.000002	0.000002	0.000007	0.000007
97	0.000003	0.000003	0.000007	0.000008
111	0.000003	0.000003	0.000008	0.000008
128	0.000003	0.000006	0.000012	0.000011
147	0.000004	0.000004	0.000011	0.000011
168	0.000004	0.000005	0.000013	0.000013
194	0.000005	0.000006	0.000015	0.000015
222	0.000007	0.000007	0.000017	0.000016
256	0.000008	0.000008	0.000022	0.000020
294	0.000010	0.000010	0.000024	0.000022
337	0.000011	0.000011	0.000026	0.000025
388	0.000012	0.000014	0.000032	0.000032
445	0.000015	0.000015	0.000042	0.000047
512	0.000017	0.000018	0.000049	0.000040
588	0.000019	0.000021	0.000049	0.000054
675	0.000029	0.000034	0.000059	0.000057
776	0.000025	0.000028	0.000062	0.000063
891	0.000031	0.000030	0.000076	0.000077
1024	0.000036	0.000036	0.000091	0.000081
1176	0.000041	0.000042	0.000099	0.000095
1351	0.000048	0.000054	0.000113	0.000108
1552	0.000056	0.000053	0.000135	0.000131
1782	0.000065	0.000064	0.000152	0.000145
2048	0.000075	0.000072	0.000180	0.000170
2352	0.000086	0.000090	0.000204	0.000197
2702	0.000102	0.000100	0.000238	0.000230
3104	0.000118	0.000117	0.000275	0.000266
3565	0.000136	0.000133	0.000313	0.000303
4096	0.000158	0.000152	0.000366	0.000350
4705	0.000183	0.000181	0.000416	0.000411
