Standard Python List sort for 16800000 items: 11.055313

Initial list for QuickSortRecursive:  [8482, 8221, 3623, 2275, 3684, 4709, 968, 78, 6808, 4056, 7097, 3142]
The 3-th element of the list: 2275
Sorted list for QuickSortRecursive:  [78, 968, 2275, 3142, 3623, 3684, 4056, 4709, 6808, 7097, 8221, 8482]

Initial list for QuickSort:  [6586, 2832, 6737, 8733, 5891, 923, 8550, 2980, 3558, 4592, 4008, 6630]
Sorted list for QuickSort:  [923, 2832, 2980, 3558, 4008, 4592, 5891, 6586, 6630, 6737, 8550, 8733]

Initial list for QuickSortSimpleList:  [4930, 7996, 8274, 3239, 7865, 8581, 9879, 2146, 368, 5407, 2534, 8056]
Sorted list for QuickSortSimpleList:  [368, 2146, 2534, 3239, 4930, 5407, 7865, 7996, 8056, 8274, 8581, 9879]

Initial list for MergeSortRecursive:  [1193, 2574, 7102, 6921, 2502, 8250, 6119, 2282, 9353, 1641, 1341, 3028]
Sorted list for MergeSortRecursive:  [1193, 1341, 1641, 2282, 2502, 2574, 3028, 6119, 6921, 7102, 8250, 9353]

Initial list for MergeSort:  [9470, 714, 3517, 9771, 9341, 8806, 9765, 8979, 3294, 1875, 7412, 8048]
Sorted list for MergeSort:  [714, 1875, 3294, 3517, 7412, 8048, 8806, 8979, 9341, 9470, 9765, 9771]

Initial list for MergeSortSimpleList:  [2929, 3912, 1033, 8832, 8618, 492, 81, 5471, 8011, 5795, 1399, 1848]
Sorted list for MergeSortSimpleList:  [81, 492, 1033, 1399, 1848, 2929, 3912, 5471, 5795, 8011, 8618, 8832]


Length	T_qsr	T_msr	T_qsll	T_msll	T_qssl	T_mssl
8	0.000027	0.000020	0.000047	0.000040	0.000032	0.000021
9	0.000021	0.000021	0.000045	0.000039	0.000037	0.000027
10	0.000023	0.000023	0.000048	0.000041	0.000041	0.000028
12	0.000032	0.000028	0.000062	0.000052	0.000047	0.000032
13	0.000033	0.000030	0.000065	0.000052	0.000055	0.000045
16	0.000029	0.000027	0.000058	0.000045	0.000048	0.000028
18	0.000031	0.000032	0.000060	0.416600	0.000042	0.000024
21	0.000026	0.000025	0.000050	0.000038	0.000037	0.000025
24	0.000028	0.000032	0.000052	0.000043	0.000043	0.000029
27	0.000030	0.000030	0.000058	0.000048	0.000048	0.000032
32	0.000034	0.000036	0.000071	0.000058	0.000060	0.000036
36	0.000040	0.000044	0.000082	0.000067	0.000064	0.000042
42	0.000055	0.000051	0.000095	0.000081	0.000078	0.000051
48	0.000060	0.000058	0.000106	0.000090	0.000089	0.000056
55	0.000067	0.000069	0.000122	0.000104	0.000109	0.000066
64	0.000077	0.000080	0.000145	0.000170	0.000142	0.000077
73	0.000090	0.000095	0.000171	0.000142	0.000143	0.000095
84	0.000118	0.000112	0.000192	0.000164	0.000164	0.000112
97	0.000132	0.000130	0.000222	0.000194	0.000187	0.000132
111	0.000172	0.000152	0.000248	0.000271	0.000216	0.000149
128	0.000160	0.000178	0.000293	0.000255	0.000253	0.000173
147	0.000202	0.000208	0.000352	0.000350	0.000293	0.000211
168	0.000255	0.000243	0.000389	0.000333	0.000325	0.000237
194	0.000259	0.000284	0.000451	0.000448	0.000392	0.000284
222	0.000293	0.000329	0.000521	0.000488	0.000454	0.000316
256	0.000376	0.000391	0.000622	0.000561	0.000559	0.000369
294	0.000440	0.000467	0.000730	0.000680	0.000617	0.000462
337	0.000482	0.000543	0.000829	0.409148	0.000780	0.000539
388	0.000586	0.000668	0.000973	0.000934	0.000852	0.000631
445	0.000715	0.000752	0.001137	0.001029	0.000966	0.000727
512	0.000856	0.000889	0.001339	0.001228	0.001160	0.000884
588	0.000915	0.001041	0.001590	0.001489	0.001345	0.001059
675	0.001111	0.001235	0.001928	0.001752	0.001580	0.001254
776	0.001274	0.001467	0.002547	0.001949	0.001831	0.001414
